,Unnamed: 0,Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,year,Specific_Boroughs_Air
17,17,179513,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2012-13,12/01/2012,11.16,,2012,Bronx
18,18,173156,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2009-10,12/01/2009,11.75,,2009,Bronx
19,19,174142,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2009,12/01/2008,11.64,,2008,Bronx
20,20,174176,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2010,12/01/2009,10.78,,2009,Bronx
21,21,334178,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2015,06/01/2015,10.32,,2015,Bronx
22,22,410961,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2016,05/31/2016,8.89,,2016,Bronx
23,23,547595,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2016-17,12/01/2016,8.68,,2016,Bronx
24,24,605890,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2017-18,12/01/2017,8.65,,2017,Bronx
25,25,173258,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2012-13,12/01/2012,11.98,,2012,Bronx
26,26,173666,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2010,06/01/2010,12.64,,2010,Bronx
27,27,174278,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2013,12/01/2012,9.7,,2012,Bronx
28,28,212095,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2014,12/01/2013,9.8,,2013,Bronx
29,29,410960,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2015-16,12/01/2015,8.76,,2015,Bronx
30,30,173768,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2013,06/01/2013,10.93,,2013,Bronx
31,31,211891,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2013-14,12/01/2013,13.08,,2013,Bronx
32,32,211993,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2014,06/01/2014,9.26,,2014,Bronx
33,33,334179,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2014-15,12/01/2014,10.57,,2014,Bronx
34,34,547593,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2017,06/01/2017,10.15,,2017,Bronx
35,35,547594,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2017,01/01/2017,8.2,,2017,Bronx
36,36,174244,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2012,12/01/2011,10.15,,2011,Bronx
37,37,334177,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2015,01/01/2015,9.63,,2015,Bronx
38,38,410962,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2016,12/31/2015,8.21,,2015,Bronx
39,39,173122,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2008-09,12/01/2008,14.74,,2008,Bronx
40,40,173190,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2010-11,12/01/2010,14.54,,2010,Bronx
41,41,173700,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2011,06/01/2011,12.15,,2011,Bronx
42,42,605886,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2018,06/01/2018,7.5,,2018,Staten Island
43,43,605887,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2017-18,12/01/2017,7.73,,2017,Staten Island
44,44,173224,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Winter 2011-12,12/01/2011,10.95,,2011,Bronx
45,45,173632,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2009,06/01/2009,11.35,,2009,Bronx
46,46,173734,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2012,06/01/2012,11.02,,2012,Bronx
47,47,174210,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2011,12/01/2010,11.36,,2010,Bronx
48,48,173733,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2012,06/01/2012,9.9,,2012,Staten Island
49,49,211890,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2013-14,12/01/2013,11.77,,2013,Staten Island
50,50,334176,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2014-15,12/01/2014,8.31,,2014,Staten Island
51,51,410959,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2016,12/31/2015,6.78,,2015,Staten Island
52,52,173631,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2009,06/01/2009,10.5,,2009,Staten Island
53,53,547590,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2017,06/01/2017,8.06,,2017,Staten Island
54,54,173665,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2010,06/01/2010,11.41,,2010,Staten Island
55,55,174175,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2010,12/01/2009,8.81,,2009,Staten Island
56,56,211992,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2014,06/01/2014,7.77,,2014,Staten Island
57,57,547591,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2017,01/01/2017,6.76,,2017,Staten Island
58,58,547592,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2016-17,12/01/2016,7.02,,2016,Staten Island
59,59,173257,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2012-13,12/01/2012,9.71,,2012,Staten Island
60,60,334175,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2015,06/01/2015,8.62,,2015,Staten Island
61,61,410957,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2015-16,12/01/2015,7.37,,2015,Staten Island
62,62,410958,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2016,05/31/2016,7.74,,2016,Staten Island
63,63,605885,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2018,01/01/2018,6.35,,2018,Staten Island
64,64,173121,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2008-09,12/01/2008,11.83,,2008,Staten Island
65,65,173189,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2010-11,12/01/2010,11.62,,2010,Staten Island
66,66,174141,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2009,12/01/2008,9.8,,2008,Staten Island
67,67,174209,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2011,12/01/2010,9.42,,2010,Staten Island
68,68,174243,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2012,12/01/2011,8.37,,2011,Staten Island
69,69,174277,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2013,12/01/2012,7.97,,2012,Staten Island
70,70,212094,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2014,12/01/2013,8.38,,2013,Staten Island
71,71,334174,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Annual Average 2015,01/01/2015,7.56,,2015,Staten Island
72,72,547587,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2017,06/01/2017,8.31,,2017,Staten Island
73,73,605883,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2018,06/01/2018,7.6,,2018,Staten Island
74,74,173155,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2009-10,12/01/2009,9.1,,2009,Staten Island
75,75,173223,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Winter 2011-12,12/01/2011,8.49,,2011,Staten Island
76,76,173699,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2011,06/01/2011,11.09,,2011,Staten Island
77,77,173767,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,503504,Southern SI,Summer 2013,06/01/2013,9.27,,2013,Staten Island
78,78,173630,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2009,06/01/2009,10.5,,2009,Staten Island
79,79,173766,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2013,06/01/2013,9.42,,2013,Staten Island
80,80,605305,386,Ozone (O3),Mean,ppb,UHF34,105106107,South Bronx,Summer 2018,06/01/2018,30.16,,2018,Bronx
81,81,174140,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2009,12/01/2008,9.84,,2008,Staten Island
82,82,334171,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2015,01/01/2015,8.0,,2015,Staten Island
83,83,334172,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2015,06/01/2015,8.81,,2015,Staten Island
84,84,410955,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2016,05/31/2016,7.94,,2016,Staten Island
85,85,174242,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2012,12/01/2011,8.31,,2011,Staten Island
86,86,334173,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2014-15,12/01/2014,8.57,,2014,Staten Island
87,87,410954,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2015-16,12/01/2015,7.67,,2015,Staten Island
88,88,410956,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2016,12/31/2015,6.97,,2015,Staten Island
89,89,547588,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2017,01/01/2017,6.94,,2017,Staten Island
90,90,605882,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2018,01/01/2018,6.51,,2018,Staten Island
91,91,174276,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2013,12/01/2012,8.03,,2012,Staten Island
92,92,211991,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2014,06/01/2014,8.04,,2014,Staten Island
93,93,173120,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2008-09,12/01/2008,11.81,,2008,Staten Island
94,94,173188,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2010-11,12/01/2010,11.81,,2010,Staten Island
95,95,173256,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2012-13,12/01/2012,9.73,,2012,Staten Island
96,96,173732,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2012,06/01/2012,9.9,,2012,Staten Island
97,97,211889,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2013-14,12/01/2013,11.8,,2013,Staten Island
98,98,212093,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2014,12/01/2013,8.5,,2013,Staten Island
99,99,547589,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2016-17,12/01/2016,7.18,,2016,Staten Island
100,100,605884,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2017-18,12/01/2017,7.94,,2017,Staten Island
101,101,173154,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2009-10,12/01/2009,9.01,,2009,Staten Island
102,102,174174,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2010,12/01/2009,8.77,,2009,Staten Island
103,103,334169,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2015,06/01/2015,9.07,,2015,N/A
104,104,547584,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2017,06/01/2017,8.64,,2017,N/A
105,105,173222,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Winter 2011-12,12/01/2011,8.23,,2011,Staten Island
106,106,173664,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2010,06/01/2010,11.48,,2010,Staten Island
107,107,173698,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Summer 2011,06/01/2011,11.09,,2011,Staten Island
108,108,174208,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,501502,Northern SI,Annual Average 2011,12/01/2010,9.49,,2010,Staten Island
109,109,410953,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2016,12/31/2015,6.94,,2015,N/A
110,110,605881,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2017-18,12/01/2017,7.58,,2017,N/A
111,111,173153,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2009-10,12/01/2009,9.29,,2009,N/A
112,112,173221,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2011-12,12/01/2011,8.96,,2011,N/A
113,113,174173,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2010,12/01/2009,9.09,,2009,N/A
114,114,174207,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2011,12/01/2010,9.72,,2010,N/A
115,115,547585,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2017,01/01/2017,7.04,,2017,N/A
116,116,547586,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2016-17,12/01/2016,7.85,,2016,N/A
117,117,173731,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2012,06/01/2012,9.87,,2012,N/A
118,118,211990,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2014,06/01/2014,7.99,,2014,N/A
119,119,334170,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2014-15,12/01/2014,8.82,,2014,N/A
120,120,410951,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2015-16,12/01/2015,7.43,,2015,N/A
121,121,605880,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2018,06/01/2018,8.01,,2018,N/A
122,122,173119,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2008-09,12/01/2008,12.4,,2008,N/A
123,123,173255,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2012-13,12/01/2012,9.51,,2012,N/A
124,124,173629,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2009,06/01/2009,9.96,,2009,N/A
125,125,173765,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2013,06/01/2013,9.95,,2013,N/A
126,126,212092,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2014,12/01/2013,8.36,,2013,N/A
127,127,174241,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2012,12/01/2011,8.58,,2011,N/A
128,128,174275,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2013,12/01/2012,8.13,,2012,N/A
129,129,211888,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2013-14,12/01/2013,10.97,,2013,N/A
130,130,334168,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2015,01/01/2015,8.23,,2015,N/A
131,131,410952,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2016,05/31/2016,7.47,,2016,N/A
132,132,605879,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2018,01/01/2018,6.51,,2018,N/A
133,133,605876,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2018,01/01/2018,8.39,,2018,Manhattan
134,134,605877,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2018,06/01/2018,9.53,,2018,Manhattan
135,135,173187,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Winter 2010-11,12/01/2010,12.13,,2010,N/A
136,136,173663,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2010,06/01/2010,11.31,,2010,N/A
137,137,173697,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Summer 2011,06/01/2011,11.04,,2011,N/A
138,138,174139,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,404406,Bayside Little Neck-Fresh Meadows,Annual Average 2009,12/01/2008,9.83,,2008,N/A
139,139,173118,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2008-09,12/01/2008,14.88,,2008,Manhattan
140,140,173186,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2010-11,12/01/2010,14.25,,2010,Manhattan
141,141,173254,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2012-13,12/01/2012,12.13,,2012,Manhattan
142,142,174172,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2010,12/01/2009,11.28,,2009,Manhattan
143,143,410950,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2016,12/31/2015,9.18,,2015,Manhattan
144,144,547583,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2016-17,12/01/2016,8.81,,2016,Manhattan
145,145,173764,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2013,06/01/2013,11.69,,2013,Manhattan
146,146,211887,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2013-14,12/01/2013,13.89,,2013,Manhattan
147,147,334165,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2015,01/01/2015,10.21,,2015,Manhattan
148,148,334167,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2014-15,12/01/2014,10.61,,2014,Manhattan
149,149,410949,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2016,05/31/2016,9.47,,2016,Manhattan
150,150,547581,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2017,06/01/2017,10.28,,2017,Manhattan
151,151,547582,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2017,01/01/2017,8.68,,2017,Manhattan
152,152,605878,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2017-18,12/01/2017,9.82,,2017,Manhattan
153,153,173152,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2009-10,12/01/2009,11.18,,2009,Manhattan
154,154,173628,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2009,06/01/2009,12.54,,2009,Manhattan
155,155,173696,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2011,06/01/2011,12.78,,2011,Manhattan
156,156,173730,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2012,06/01/2012,11.76,,2012,Manhattan
157,157,173220,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Winter 2011-12,12/01/2011,10.86,,2011,Manhattan
158,158,173662,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Summer 2010,06/01/2010,13.31,,2010,Manhattan
159,159,174206,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,309310,Union Square-Lower Manhattan,Annual Average 2011,12/01/2010,11.71,,2010,Manhattan
