,Location,Count Date,Day,24 Hr. Total Vol.,Unnamed: 4,coordinates
48,RANCHO LOS CERRITOS ROAD E/O RANCHO DEL MONICO ROAD,01/25/2017 12:00:00 AM,Wed,395,,"34.0789886, -117.8566875"
49,RANCHO LA CARLOTA ROAD W/O RANCHO DEL MONICO ROAD,01/25/2017 12:00:00 AM,Wed,441,,"34.0789886, -117.8566875"
50,HURST STREET W/O LINDA TERRACE,01/25/2017 12:00:00 AM,Wed,496,,"52.4769612, -1.897798"
51,DONNA BETH AVENUE S/O RENWICK ROAD,01/25/2017 12:00:00 AM,Wed,2176,,N/A
52,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/25/2017 12:00:00 AM,Wed,2251,,N/A
53,LOS ROBLES AVENUE W/O DEERHAVEN DRIVE,01/25/2017 12:00:00 AM,Wed,5521,,"34.137183, -118.1409766"
54,TERRACE STREET W/O FAIR OAKS AVENUE,01/26/2017 12:00:00 AM,Thu,266,,"38.631279, -121.3269952"
55,MENDOCINO STREET E/O LINCOLN AVENUE,01/26/2017 12:00:00 AM,Thu,314,,"41.9762348, -87.69282559999999"
56,MANOR STREET E/O GLENROSE AVENUE,01/26/2017 12:00:00 AM,Thu,393,,"34.1940379, -118.1513973"
57,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/26/2017 12:00:00 AM,Thu,440,,N/A
58,CASITAS AVENUE S/O MOUNTAIN VIEW STREET,01/26/2017 12:00:00 AM,Thu,1033,,"33.6479402, -112.0580472"
59,GLENROSE AVENUE N/O PINE STREET,01/26/2017 12:00:00 AM,Thu,1261,,"34.1940379, -118.1513973"
60,FIGUEROA DRIVE E/O CASITAS AVENUE,01/26/2017 12:00:00 AM,Thu,2371,,"34.1874769, -118.1597297"
61,EXPLORER ROAD N/O WINDSOR AVENUE,01/26/2017 12:00:00 AM,Thu,3492,,"42.3125569, -82.94311909999999"
62,VENTURA STREET E/O WINDSOR AVENUE,01/26/2017 12:00:00 AM,Thu,6852,,"34.2804923, -119.2945199"
63,WINDSOR AVENUE S/O VENTURA STREET,01/26/2017 12:00:00 AM,Thu,8409,,"34.2804923, -119.2945199"
64,FIELDBROOK STREET S/O YELLOWBLUFF PLACE,01/27/2017 12:00:00 AM,Fri,164,,"30.5423242, -81.6146208"
65,ALDERBURY DRIVE S/O KLUM PLACE,01/27/2017 12:00:00 AM,Fri,256,,"33.96915300000001, -117.898121"
66,FIELDBROOK STREET N/O YELLOWBLUFF PLACE,01/27/2017 12:00:00 AM,Fri,296,,"30.5423242, -81.6146208"
67,MANOR STREET E/O GLENROSE AVENUE,01/27/2017 12:00:00 AM,Fri,385,,"34.1940379, -118.1513973"
68,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/27/2017 12:00:00 AM,Fri,463,,N/A
69,KLUM PLACE W/O ALDERBURY DRIVE,01/27/2017 12:00:00 AM,Fri,543,,"33.970543, -117.895808"
70,MOON VIEW DRIVE S/O ROYAL VIEW ROAD,01/27/2017 12:00:00 AM,Fri,712,,"-36.8573373, 174.6468819"
71,ALDERBURY DRIVE W/O BLANDFORD DRIVE,01/27/2017 12:00:00 AM,Fri,821,,"33.969937, -117.895235"
72,GLENROSE AVENUE N/O PINE STREET,01/27/2017 12:00:00 AM,Fri,1316,,"34.1940379, -118.1513973"
73,ROYAL VIEW ROAD E/O MOON VIEW DRIVE,01/27/2017 12:00:00 AM,Fri,1672,,"40.0530577, -76.3108453"
74,ROYAL VIEW ROAD E/O COUNTRYWOOD AVENUE,01/27/2017 12:00:00 AM,Fri,1715,,"33.9936661, -117.9420027"
75,FIELDBROOK STREET S/O YELLOWBLUFF PLACE,01/28/2017 12:00:00 AM,Sat,157,,"30.5423242, -81.6146208"
76,ALDERBURY DRIVE S/O KLUM PLACE,01/28/2017 12:00:00 AM,Sat,225,,"33.96915300000001, -117.898121"
77,FIELDBROOK STREET N/O YELLOWBLUFF PLACE,01/28/2017 12:00:00 AM,Sat,253,,"30.5423242, -81.6146208"
78,MANOR STREET E/O GLENROSE AVENUE,01/28/2017 12:00:00 AM,Sat,367,,"34.1940379, -118.1513973"
79,KLUM PLACE W/O ALDERBURY DRIVE,01/28/2017 12:00:00 AM,Sat,471,,"33.970543, -117.895808"
80,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/28/2017 12:00:00 AM,Sat,506,,N/A
81,MOON VIEW DRIVE S/O ROYAL VIEW ROAD,01/28/2017 12:00:00 AM,Sat,703,,"-36.8573373, 174.6468819"
82,ALDERBURY DRIVE W/O BLANDFORD DRIVE,01/28/2017 12:00:00 AM,Sat,747,,"33.969937, -117.895235"
83,GLENROSE AVENUE N/O PINE STREET,01/28/2017 12:00:00 AM,Sat,1080,,"34.1940379, -118.1513973"
84,ROYAL VIEW ROAD E/O COUNTRYWOOD AVENUE,01/28/2017 12:00:00 AM,Sat,2095,,"33.9936661, -117.9420027"
85,ROYAL VIEW ROAD E/O MOON VIEW DRIVE,01/28/2017 12:00:00 AM,Sat,2118,,"40.0530577, -76.3108453"
86,ALDERBURY DRIVE S/O KLUM PLACE,01/29/2017 12:00:00 AM,Sun,149,,"33.96915300000001, -117.898121"
87,FIELDBROOK STREET S/O YELLOWBLUFF PLACE,01/29/2017 12:00:00 AM,Sun,150,,"30.5423242, -81.6146208"
88,FIELDBROOK STREET N/O YELLOWBLUFF PLACE,01/29/2017 12:00:00 AM,Sun,275,,"30.5423242, -81.6146208"
89,MANOR STREET E/O GLENROSE AVENUE,01/29/2017 12:00:00 AM,Sun,331,,"34.1940379, -118.1513973"
90,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/29/2017 12:00:00 AM,Sun,336,,N/A
91,KLUM PLACE W/O ALDERBURY DRIVE,01/29/2017 12:00:00 AM,Sun,394,,"33.970543, -117.895808"
92,MOON VIEW DRIVE S/O ROYAL VIEW ROAD,01/29/2017 12:00:00 AM,Sun,534,,"-36.8573373, 174.6468819"
93,ALDERBURY DRIVE W/O BLANDFORD DRIVE,01/29/2017 12:00:00 AM,Sun,623,,"33.969937, -117.895235"
94,GLENROSE AVENUE N/O PINE STREET,01/29/2017 12:00:00 AM,Sun,905,,"34.1940379, -118.1513973"
95,ROYAL VIEW ROAD E/O COUNTRYWOOD AVENUE,01/29/2017 12:00:00 AM,Sun,1361,,"33.9936661, -117.9420027"
96,ROYAL VIEW ROAD E/O MOON VIEW DRIVE,01/29/2017 12:00:00 AM,Sun,1484,,"40.0530577, -76.3108453"
97,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/30/2017 12:00:00 AM,Mon,662,,N/A
98,PINE EDGE DRIVE S/O VISTA ROAD,01/30/2017 12:00:00 AM,Mon,842,,"33.9484934, -117.927362"
99,FULLERTON ROAD W/O HARBOR BOULEVARD (N),01/30/2017 12:00:00 AM,Mon,1448,,"33.9197866, -117.9326298"
100,AVOCADO CREST ROAD E/O HACIENDA ROAD,01/30/2017 12:00:00 AM,Mon,3838,,"33.9538923, -117.951635"
101,HACIENDA ROAD N/O AVOCADO CREST ROAD,01/30/2017 12:00:00 AM,Mon,21674,,"33.9558398, -117.945475"
102,HARBOR BOULEVARD S/O FULLERTON ROAD (N),01/30/2017 12:00:00 AM,Mon,37582,,"33.8602299, -117.923939"
103,FULLERTON ROAD N/O HARBOR BOULEVARD (N),01/30/2017 12:00:00 AM,Mon,39027,,"33.9666639, -117.9154784"
104,GLENGARRY AVENUE S/O MINES BOULEVARD,01/31/2017 12:00:00 AM,Tue,1093,,"33.9775776, -118.0647822"
105,TIGRINA AVENUE N/O IMPERIAL HIGHWAY,01/31/2017 12:00:00 AM,Tue,1529,,"33.9172294, -117.9809992"
106,ARROYO DRIVE S/O MYSTIC STREET,01/31/2017 12:00:00 AM,Tue,1617,,"33.930399, -118.016032"
107,GLENGARRY AVENUE N/O MINES BOULEVARD,01/31/2017 12:00:00 AM,Tue,1659,,"33.9775776, -118.0647822"
108,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/31/2017 12:00:00 AM,Tue,2165,,N/A
109,HUBBARD STREET E/O LA VERNE AVENUE,01/31/2017 12:00:00 AM,Tue,4905,,"34.0219968, -118.153603"
110,MINES BOULEVARD E/O GLENGARRY AVENUE,01/31/2017 12:00:00 AM,Tue,11015,,"33.98077019999999, -118.067301"
111,IMPERIAL HIGHWAY W/O TIGRINA AVENUE,01/31/2017 12:00:00 AM,Tue,24379,,"34.1015549, -118.3268568"
112,SHADYBEND DRIVE E/O STIMSON AVENUE,02/01/2017 12:00:00 AM,Wed,700,,"34.00261830000001, -117.9597879"
113,NEWTON STREET E/O LAS LOMITAS DRIVE,02/01/2017 12:00:00 AM,Wed,3225,,"34.0001533, -117.9797358"
114,LAS LOMITAS DRIVE N/O NEWTON STREET,02/01/2017 12:00:00 AM,Wed,4430,,"37.4294933, -122.2028549"
115,PEPPER BROOK WAY W/O WEDGEWORTH DRIVE,02/01/2017 12:00:00 AM,Wed,8531,,"34.0045601, -117.9654847"
116,STIMSON AVENUE S/O SHADYBEND DRIVE,02/01/2017 12:00:00 AM,Wed,19663,,"34.0070906, -117.9570679"
117,HAMBLEDON AVENUE N/O GEMINI STREET,02/02/2017 12:00:00 AM,Thu,746,,"34.017028, -117.9143667"
118,CANTARIA AVENUE S/O FARJARDO STREET,02/02/2017 12:00:00 AM,Thu,800,,"33.9800681, -117.9033156"
119,BATSON AVENUE N/O COLIMA ROAD,02/02/2017 12:00:00 AM,Thu,3679,,"33.988442, -117.903365"
120,WEDGEWORTH DRIVE E/O BORK AVENUE,02/02/2017 12:00:00 AM,Thu,4489,,"33.9957971, -117.946703"
121,SALAIS STREET E/O SANDALWOOD AVENUE,02/02/2017 12:00:00 AM,Thu,5533,,"34.0148466, -117.9180882"
122,WEDGEWORTH DRIVE W/O BORK AVENUE,02/02/2017 12:00:00 AM,Thu,5654,,"33.9957971, -117.946703"
123,HACIENDA BOULEVARD S/O GLENMARK DRIVE,02/03/2017 12:00:00 AM,Fri,22277,,"33.9756882, -117.9677071"
124,HACIENDA BOULEVARD N/O DEL PRADO DRIVE,02/03/2017 12:00:00 AM,Fri,35219,,"33.9807153, -117.9733244"
125,HACIENDA BOULEVARD N/O SIGMAN STREET,02/03/2017 12:00:00 AM,Fri,38778,,"35.075511, -78.927382"
126,HACIENDA BOULEVARD N/O REGALADO STREET,02/03/2017 12:00:00 AM,Fri,39396,,"33.9987311, -117.9671671"
127,HACIENDA BOULEVARD N/O HALLIBURTON ROAD,02/03/2017 12:00:00 AM,Fri,44698,,"33.998041, -117.967351"
128,HACIENDA BOULEVARD S/O GLENMARK DRIVE,02/04/2017 12:00:00 AM,Sat,19230,,"33.9756882, -117.9677071"
129,HACIENDA BOULEVARD N/O DEL PRADO DRIVE,02/04/2017 12:00:00 AM,Sat,32630,,"33.9807153, -117.9733244"
130,HACIENDA BOULEVARD N/O REGALADO STREET,02/04/2017 12:00:00 AM,Sat,37268,,"33.9987311, -117.9671671"
131,HACIENDA BOULEVARD S/O GLENMARK DRIVE,02/05/2017 12:00:00 AM,Sun,15055,,"33.9756882, -117.9677071"
132,HACIENDA BOULEVARD N/O DEL PRADO DRIVE,02/05/2017 12:00:00 AM,Sun,26798,,"33.9807153, -117.9733244"
133,HACIENDA BOULEVARD N/O REGALADO STREET,02/05/2017 12:00:00 AM,Sun,31071,,"33.9987311, -117.9671671"
134,FRANKTON AVENUE W/O GEMBROOK AVENUE,02/09/2017 12:00:00 AM,Thu,124,,"34.0173479, -117.9919607"
135,GEMBROOK AVENUE N/O FRANKTON AVENUE,02/09/2017 12:00:00 AM,Thu,253,,"34.0159764, -117.9940124"
136,GREENPORT AVENUE S/O MANDY STREET,02/09/2017 12:00:00 AM,Thu,521,,"41.1034326, -72.3592501"
137,LAS LOMITAS DRIVE E/O VALLECITO DRIVE (S),02/09/2017 12:00:00 AM,Thu,2771,,"37.4381044, -122.2123859"
138,NOGALES STREET N/O VILLA CLARA STREET,02/09/2017 12:00:00 AM,Thu,16434,,"33.9784593, -117.8978811"
139,BREA CANYON CUTOFF ROAD S/O OAKLEAF CANYON ROAD,02/10/2017 12:00:00 AM,Fri,14942,,"33.9784657, -117.8627167"
140,BREA CANYON CUTOFF ROAD S/O BALAN ROAD,02/10/2017 12:00:00 AM,Fri,17145,,"33.9842127, -117.8678213"
141,BREA CANYON CUTOFF ROAD S/O SAND SPRING DRIVE,02/10/2017 12:00:00 AM,Fri,19782,,"33.9849504, -117.8707017"
142,BREA CANYON CUTOFF ROAD S/O PATHFINDER ROAD,02/10/2017 12:00:00 AM,Fri,20556,,"33.9841946, -117.8678067"
143,BREA CANYON CUTOFF ROAD S/O OAKLEAF CANYON ROAD,02/11/2017 12:00:00 AM,Sat,13095,,"33.9784657, -117.8627167"
144,BREA CANYON CUTOFF ROAD S/O BALAN ROAD,02/11/2017 12:00:00 AM,Sat,13894,,"33.9842127, -117.8678213"
145,BREA CANYON CUTOFF ROAD S/O SAND SPRING DRIVE,02/11/2017 12:00:00 AM,Sat,15916,,"33.9849504, -117.8707017"
146,BREA CANYON CUTOFF ROAD S/O PATHFINDER ROAD,02/11/2017 12:00:00 AM,Sat,17238,,"33.9841946, -117.8678067"
147,BREA CANYON CUTOFF ROAD S/O OAKLEAF CANYON ROAD,02/12/2017 12:00:00 AM,Sun,10347,,"33.9784657, -117.8627167"
148,BREA CANYON CUTOFF ROAD S/O BALAN ROAD,02/12/2017 12:00:00 AM,Sun,10755,,"33.9842127, -117.8678213"
149,BREA CANYON CUTOFF ROAD S/O SAND SPRING DRIVE,02/12/2017 12:00:00 AM,Sun,12651,,"33.9849504, -117.8707017"
150,BREA CANYON CUTOFF ROAD S/O PATHFINDER ROAD,02/12/2017 12:00:00 AM,Sun,13918,,"33.9841946, -117.8678067"
151,ALTERN STREET E/O REDELL AVENUE,02/13/2017 12:00:00 AM,Mon,431,,N/A
152,ALTERN STREET W/O REDELL AVENUE,02/13/2017 12:00:00 AM,Mon,895,,N/A
153,MADRE STREET S/O GRAYBURN ROAD,02/13/2017 12:00:00 AM,Mon,3937,,"34.1396022, -118.0781098"
154,HURST STREET W/O LINDA TERRACE,02/14/2017 12:00:00 AM,Tue,482,,"52.4769612, -1.897798"
155,MEEKER AVENUE S/O FAIRGROVE AVENUE,02/14/2017 12:00:00 AM,Tue,625,,"34.0415909, -117.941565"
156,122ND STREET E/O WILLOWBROOK AVENUE,02/14/2017 12:00:00 AM,Tue,947,,"33.9169602, -118.2550726"
157,122ND STREET E/O WILLOWBROOK AVENUE,02/14/2017 12:00:00 AM,Tue,948,,"33.9169602, -118.2550726"
158,NEWBURGH STREET W/O HEATHDALE AVENUE,02/14/2017 12:00:00 AM,Tue,1561,,"34.1116914, -117.9006123"
159,MADRE STREET S/O GRAYBURN ROAD,02/14/2017 12:00:00 AM,Tue,4608,,"34.1396022, -118.0781098"
160,LARK ELLEN AVENUE N/O MAPLEGROVE STREET,02/14/2017 12:00:00 AM,Tue,6038,,"34.0444929, -117.9313971"
161,LARK ELLEN AVENUE S/O FRANCISQUITO AVENUE,02/14/2017 12:00:00 AM,Tue,9198,,"34.050287, -117.9168536"
162,OVERDALE DRIVE N/O SUMMERHILL DRIVE,02/15/2017 12:00:00 AM,Wed,398,,"33.9914213, -118.3520208"
163,OVERDALE DRIVE N/O SUMMERHILL DRIVE,02/15/2017 12:00:00 AM,Wed,398,,"33.9914213, -118.3520208"
164,OVERDALE DRIVE N/O SUMMERHILL DRIVE,02/15/2017 12:00:00 AM,Wed,399,,"33.9914213, -118.3520208"
165,HURST STREET W/O LINDA TERRACE,02/15/2017 12:00:00 AM,Wed,518,,"52.4769612, -1.897798"
166,GREENWOOD AVENUE E/O ROSEMEAD BOULEVARD,02/15/2017 12:00:00 AM,Wed,564,,"34.0741316, -118.0712284"
167,MADRE STREET S/O GRAYBURN ROAD,02/15/2017 12:00:00 AM,Wed,4527,,"34.1396022, -118.0781098"
168,CALIFORNIA AVENUE N/O PAMELA ROAD,02/15/2017 12:00:00 AM,Wed,7887,,"34.1234997, -117.9972899"
169,CALIFORNIA AVENUE S/O SHRODE AVENUE,02/15/2017 12:00:00 AM,Wed,8915,,"34.1337283, -117.9950445"
170,MANSFIELD AVENUE S/O SLAUSON AVENUE,02/21/2017 12:00:00 AM,Tue,574,,"33.9886444, -118.3575873"
171,MOUNT VERNON DRIVE E/O PRESIDIO DRIVE,02/21/2017 12:00:00 AM,Tue,1616,,"41.8504867, -72.440422"
172,MOUNT VERNON DRIVE W/O PRESIDIO DRIVE,02/21/2017 12:00:00 AM,Tue,1651,,"35.1894412, -84.8884685"
173,FAIRFAX AVENUE N/O 62ND STREET,02/21/2017 12:00:00 AM,Tue,8579,,N/A
174,WOOLWINE DRIVE E/O BONNIE BEACH PLACE,02/22/2017 12:00:00 AM,Wed,671,,"34.0517093, -118.1806218"
175,DANGLER AVENUE S/O FISHER STREET,02/22/2017 12:00:00 AM,Wed,2224,,N/A
176,HAZARD AVENUE N/O SNOW DRIVE,02/22/2017 12:00:00 AM,Wed,5648,,"36.1622491, -95.9018741"
177,HAZARD AVENUE S/O RAMBOZ DRIVE,02/22/2017 12:00:00 AM,Wed,5737,,"34.0538661, -118.1830008"
178,HAZARD AVENUE N/O DOBINSON STREET,02/22/2017 12:00:00 AM,Wed,5868,,"34.0482644, -118.1800333"
179,HAZARD AVENUE N/O FOLSOM STREET,02/22/2017 12:00:00 AM,Wed,6470,,"34.0453441, -118.1799184"
180,CHADRON AVENUE N/O MARINE AVENUE,02/23/2017 12:00:00 AM,Thu,1472,,"33.8946427, -118.3536114"
181,CITY TERRACE DRIVE E/O HICKS AVENUE,02/23/2017 12:00:00 AM,Thu,5908,,"34.0451706, -118.1907703"
182,MARENGO STREET W/O DITMAN AVENUE,02/23/2017 12:00:00 AM,Thu,6417,,"34.052048, -118.1895208"
183,CITY TERRACE DRIVE S/O RAMBOZ DRIVE,02/23/2017 12:00:00 AM,Thu,9569,,"34.0538661, -118.1830008"
184,CITY TERRACE DRIVE W/O HERBERT AVENUE,02/23/2017 12:00:00 AM,Thu,14825,,"34.055634, -118.182572"
185,CHADRON AVENUE N/O MARINE AVENUE,02/24/2017 12:00:00 AM,Fri,1460,,"33.8946427, -118.3536114"
186,1ST STREET W/O DICKERSON AVENUE,02/24/2017 12:00:00 AM,Fri,12014,,N/A
187,1ST STREET E/O BONNIE BEACH PLACE,02/24/2017 12:00:00 AM,Fri,12709,,"34.0239296, -118.1812765"
188,1ST STREET E/O CARMELITA AVENUE,02/24/2017 12:00:00 AM,Fri,13264,,"34.0360317, -118.1773906"
189,EASTERN AVENUE N/O EUGENE STREET,02/24/2017 12:00:00 AM,Fri,14499,,"47.6589324, -122.3290136"
190,EASTERN AVENUE N/O MARIANNA AVENUE (S),02/24/2017 12:00:00 AM,Fri,21011,,"34.035748, -118.175016"
191,EASTERN AVENUE N/O FLORAL DRIVE,02/24/2017 12:00:00 AM,Fri,21107,,"42.911277, -85.582464"
192,EASTERN AVENUE S/O HAUCK STREET,02/24/2017 12:00:00 AM,Fri,21466,,N/A
193,CHADRON AVENUE N/O MARINE AVENUE,02/25/2017 12:00:00 AM,Sat,1229,,"33.8946427, -118.3536114"
194,1ST STREET W/O DICKERSON AVENUE,02/25/2017 12:00:00 AM,Sat,9927,,N/A
195,EASTERN AVENUE N/O EUGENE STREET,02/25/2017 12:00:00 AM,Sat,10219,,"47.6589324, -122.3290136"
196,1ST STREET E/O BONNIE BEACH PLACE,02/25/2017 12:00:00 AM,Sat,10408,,"34.0239296, -118.1812765"
197,1ST STREET E/O CARMELITA AVENUE,02/25/2017 12:00:00 AM,Sat,10634,,"34.0360317, -118.1773906"
198,EASTERN AVENUE N/O MARIANNA AVENUE (S),02/25/2017 12:00:00 AM,Sat,13567,,"34.035748, -118.175016"
199,EASTERN AVENUE N/O FLORAL DRIVE,02/25/2017 12:00:00 AM,Sat,13792,,"42.911277, -85.582464"
200,EASTERN AVENUE S/O HAUCK STREET,02/25/2017 12:00:00 AM,Sat,13824,,N/A
201,CHADRON AVENUE N/O MARINE AVENUE,02/26/2017 12:00:00 AM,Sun,1109,,"33.8946427, -118.3536114"
202,EASTERN AVENUE N/O EUGENE STREET,02/26/2017 12:00:00 AM,Sun,7672,,"47.6589324, -122.3290136"
203,1ST STREET W/O DICKERSON AVENUE,02/26/2017 12:00:00 AM,Sun,7786,,N/A
204,1ST STREET E/O BONNIE BEACH PLACE,02/26/2017 12:00:00 AM,Sun,7973,,"34.0239296, -118.1812765"
205,1ST STREET E/O CARMELITA AVENUE,02/26/2017 12:00:00 AM,Sun,7982,,"34.0360317, -118.1773906"
206,EASTERN AVENUE N/O MARIANNA AVENUE (S),02/26/2017 12:00:00 AM,Sun,9370,,"34.035748, -118.175016"
207,EASTERN AVENUE N/O FLORAL DRIVE,02/26/2017 12:00:00 AM,Sun,9638,,"42.911277, -85.582464"
208,EASTERN AVENUE S/O HAUCK STREET,02/26/2017 12:00:00 AM,Sun,9667,,N/A
209,HESTER AVENUE E/O COLE ROAD,02/28/2017 12:00:00 AM,Tue,284,,"33.9416237, -118.0054164"
210,BREEZEWOOD AVENUE S/O WHITESPRING DRIVE,02/28/2017 12:00:00 AM,Tue,502,,"33.9229603, -117.9883538"
211,BREEZEWOOD AVENUE S/O SILVERGROVE DRIVE,02/28/2017 12:00:00 AM,Tue,1031,,"33.920042, -117.9874845"
212,TOWNSEND AVENUE S/O 1ST STREET,02/28/2017 12:00:00 AM,Tue,1090,,"34.0348004, -118.1881058"
213,TOWNSEND AVENUE N/O 1ST STREET,02/28/2017 12:00:00 AM,Tue,1383,,"34.0360193, -118.1881244"
214,1ST STREET W/O TOWNSEND AVENUE,02/28/2017 12:00:00 AM,Tue,14364,,N/A
